Sound,length_seconds,position,gain,channel,file,sound_id,loop
Big Cheer Sport,4,1,0,1,001_applause2_short.wav,1,FALSE
Heatbeat,25,1.5,0,2,002_heartbeat1_loop.wav,2,TRUE
Applause Reverb no voices,11,2,0,3,003_applause3_short.wav,3,FALSE
Heartbeat,16,2.5,0,4,004_heartbeat2_loop.wav,4,TRUE
Applause with Laughter and a hoot,12,4,0,5,005_applause4_short.wav,5,FALSE
Clap and Cheer,12,4,0,6,006_clap_cheer1_short.wav,6,FALSE
Clap and Laugh,13,4,0,1,007_applause1_short.wav,7,FALSE
Laughter then applause supportive,17,4,0,2,008_applause5_short.wav,8,FALSE
Crinkle,2,4.5,0,3,009_crinkle1_short.wav,9,FALSE
Tennis,1,5,0,4,010_tennis_onehit_short.wav,10,FALSE
Basketball Thump,4,5,0,5,011_basketball_dribble_short.wav,11,FALSE
Footrace,65,5,0,6,012_footrace1_loop.wav,12,TRUE
Footsteps on Gravel,34,6,0,1,013_footsteps_gravel_loop.wav,13,TRUE
Bloop,0.3,7,0,2,014_xty_onebloop_short.wav,14,FALSE
Heartbeat baby,26,7.5,0,3,015_heartbeat3_baby_loop.wav,15,TRUE
Bloops,2,8,0,4,016_xty_fourbloop_short.wav,16,FALSE
Basketball on Rim,2,10,0,5,017_basketball_short.wav,17,FALSE
Dropped can,0.5,11,0,6,018_dropped_can_short.wav,18,FALSE
Footrace,9,11,0,1,019_footrace2_short.wav,19,FALSE
Footsteps on Leaves,25,12,0,2,020_footsteps_leaves_short.wav,20,FALSE
Ping pong balls,1,13.5,0,3,021_ping_pong_balls_short.wav,21,FALSE
Tennis balls in tube,1,13.5,0,4,022_tennis_balls_short.wav,22,FALSE
Weaving machine,9,13.5,0,5,023_weaving_machine_loop.wav,23,TRUE
Woodpecker tap,2,14,0,6,024_pileated_woodpecker_tap_short.wav,24,FALSE
Clock,8,14.5,0,1,025_clock1_loop.wav,25,TRUE
Tennis,5,15,0,2,026_tennis_fourhits_short.wav,26,FALSE
Metal Tool,2,15.5,NA,3,027_metal_tool_short.wav,27,FALSE
Footsteps on Gravel,7,16,0,4,028_footsteps_gravel2_short.wav,28,FALSE
Pneumatic thunk,2,17,0,5,029_pneumatic_thunk_short.wav,29,FALSE
Tree,28,17.5,0,6,030_tree2_loop.wav,30,TRUE
Glass Break,1,18,0,1,031_glass_break1_short.wav,31,FALSE
Wood thunk,2,19,0,2,032_wood_thunk_reverb_short.wav,32,FALSE
Copy machine,22,19,0,3,033_copy_machine_loop.wav,33,TRUE
Crusshed can,1,20,0,4,034_dropped_can2_short.wav,34,FALSE
Tree creak remixed,3,20.5,0,5,035_tree_remixed2_short.wav,35,FALSE
Hit can,1,21,0,6,036_hit_can_short.wav,36,FALSE
Bike,15,21.5,0,1,037_bike_spin_loop.wav,37,TRUE
Typewriter Typing,2,22,0,2,038_typewriter_clacks_short.wav,38,FALSE
Hit and Miss Engine,25,23,0,3,039_hit_and_miss_engine_short.wav,39,FALSE
Hydrophone,2,23.5,0,4,040_hydrophone1_short.wav,40,FALSE
Typewriter Bell,2,24,0,5,041_typewriter_bellreturn_short.wav,41,FALSE
