Sound,File,Source,Length,Repeat,Type,Sub Type,Position,What needs,Note,Valence - GN,Noisy,Tone,Gain
Bloop,xty_onebloop_short.wav,,0.3,N,Human,Bloop,7,,,3,1,,0
Dropped can,dropped_can_short.wav,,0.5,N,Machine,Thunk,11,,,0,1,,0
Tennis,tennis_onehit_short.wav,,1,N,Human,Thunk,5,,One hit,0,2,,0
Ping pong balls,ping_pong_balls_short.wav,,1,N,Machine,Crackle,13.5,,,0,1,,0
Tennis balls in tube,machine/short/tennis_balls_short.wav,,1,N,Machine,Thunk,13.5,,Four thunks,0,1,,0
Glass Break,machine/short/glass_break1_short.wav,,1,N,Machine,Crash,18,,,-1,2,,0
Crusshed can,dropped_can2_short.wav,,1,N,Machine,Thunk,20,,,0,1,,0
Hit can,hit_can_short.wav,,1,N,Machine,Rhythmic,21,,Four hits,0,1,,0
Cat Meow,nature/short/cat_meow1_short.wav,,1,N,Nature,Animal Call,37,,,0,1,,0
Cat Meow,nature/short/cat_meow2_short.wav,,1,N,Nature,Animal Call,37,,,0,1,,0
Cat Meow,nature/short/cat_meow3_short.wav,,1,N,Nature,Animal Call,37,,,0,1,,0
Dolphin,nature/short/dolphin4_short.wav,,1,N,Nature,Animal Call,39,,,2,1,,0
Dolphin,nature/short/dolphin5_short.wav,,1,N,Nature,Animal Call,39,,shorter version of dolphin1,2,1,,0
seagull single,nature/short/seagull1_short.wav,,1,N,Nature,Bird,45,,,-1,1,,0
seagull single,nature/short/seagull2_short.wav,,1,N,Nature,Bird,45,,,-1,1,,0
Train blast,train_blast2_short.wav,,1.5,N,Machine,Horn,32,,longer,1,1,Kind of E5,0
Crinkle,crinkle1_short.wav,,2,N,Machine,Crinkle,4.5,,,,,,0
Bloops,xty_fourbloop_short.wav,,2,N,Human,Bloop,8,,,3,1,,0
Basketball on Rim,machine/short/basketball_short.wav,,2,N,Machine,Thunk,10,,,1,1,,0
Woodpecker tap,pileated_woodpecker_tap_short.wav,,2,N,Nature,Thunk,14,,,,,,0
Metal Tool,metal_tool_short.wav,,2,N,Machine,Clank,15.5,,,,,,
Pneumatic thunk,machine/short/pneumatic_thunk_short.wav,,2,N,Machine,Thunk,17,,,0,1,,0
Wood thunk,machine/short/wood_thunk_reverb_short.wav,,2,N,Machine,Thunk,19,,,1,1,,0
Typewriter Typing,machine/short/typewriter_clacks_short.wav,,2,N,Machine,Rhythmic,22,,,0,1,,0
Hydrophone,nature/short/hydrophone1_short.wav,,2,N,Nature,Water,23.5,,one glug,3,1,Kind of E4,0
Typewriter Bell,machine/short/typewriter_bellreturn_short.wav,,2,N,Machine,Whirr,24,,,1,1,,0
Hang Drum single hit,machine/short/hang_drum_A4.wav,,2,N,Machine,Bell,26,,diminshed 7,2,0,A4,0
Hang Drum single hit,machine/short/hang_drum_B3.wav,,2,N,Machine,Bell,26,,toinic,2,0,B3,0
Hang Drum single hit,machine/short/hang_drum_B4.wav,,2,N,Machine,Bell,26,,Tonic,2,0,B4,0
Hang Drum single hit,machine/short/hang_drum_Csharp3.wav,,2,N,Machine,Bell,26,,second,2,0,C#3,0
Hang Drum single hit,machine/short/hang_drum_Csharp4.wav,,2,N,Machine,Bell,26,,second,2,0,C#4,0
Hang Drum single hit,machine/short/hang_drum_Csharp5.wav,,2,N,Machine,Bell,26,,second,2,0,C#5,0
Hang Drum single hit,machine/short/hang_drum_Dsharp4.wav,,2,N,Machine,Bell,26,,third,2,0,D#4,0
Hang Drum single hit,machine/short/hang_drum_E3.wav,,2,N,Machine,Bell,26,,fourth,2,0,E3,0
Hang Drum single hit,machine/short/hang_drum_E4.wav,,2,N,Machine,Bell,26,,fourth,2,0,E4,0
Hang Drum single hit,machine/short/hang_drum_Fsharp4.wav,,2,N,Machine,Bell,26,,fifth,2,0,F#4,0
Hang Drum single hit,hang_drum_Gsharp3.wav,,2,N,Machine,Bell,26,,sixth,2,0,G#4,0
Music Box,machine/short/musicbox1_short.wav,,2,N,Machine,Bell,27,,,3,0,D#7 (kinda),0
